,Ti,Fe,Zr,Nb,Sn,Ta,Mo,Al,V,Cr,Hf,Mn,W,Si,Cu,Moeq,Bo,Md,fliter,YS,E,condition_type
106,0.8857028119574863,0.0,0.0,0.11429718804251361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6000000000000005,2.825317831105137,2.4443711646750224,True,655.0,89.0,4
107,0.8855758917891732,0.0,0.0,0.11442410821082677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6000000000000005,2.8253570494371454,2.444368245511151,True,818.0,87.0,4
108,0.885384982140295,0.0,0.0,0.1146150178597049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6000000000000005,2.8254160405186486,2.4443638545892266,True,906.0,94.0,4
109,0.8696635428329449,0.0,0.0,0.13033645716705505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.300000000000001,2.8302739652646203,2.4440022614851578,True,734.0,89.0,4
110,0.8695168376626303,0.0,0.0,0.13048316233736967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.300000000000001,2.8303192971622475,2.4439988872662406,True,854.0,99.0,4
111,0.8692961596238843,0.0,0.0,0.1307038403761157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.300000000000001,2.8303874866762198,2.443993811671349,True,930.0,100.0,4
112,0.9393941093076181,0.060605890692381904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,2.781575781193759,2.35742449355666,True,1847.0,130.0,1
113,0.9338660261549551,0.0609041242876663,0.0,0.0052298495573786154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.580000000000002,2.783150350237244,2.3568634177630097,True,1785.0,124.0,1
114,0.9169504498318547,0.06181669976886461,0.0,0.021232850399280644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.42,2.7879684295055056,2.3551465621824343,True,1539.0,115.0,1
115,0.9053889355137567,0.06244042989136782,0.0,0.03217063459487564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.98,2.7912615063349167,2.3539731200248766,True,1144.0,97.0,1
129,0.920664783235709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07933521676429114,0.0,0.0,0.0,15.03,2.7846845404767926,2.3475929733943435,True,1023.0,94.0,0
131,0.9401850239810436,0.0,0.0,0.0,0.0,0.0,0.015294595195493784,0.0,0.0,0.0,0.0,0.04452038082346246,0.0,0.0,0.0,11.35,2.7911925589731976,2.3837827895631913,True,980.0,88.0,5
132,0.9347526807478485,0.0,0.0,0.0,0.0,0.0,0.02049776684026468,0.0,0.0,0.0,0.0,0.04474955241188694,0.0,0.0,0.0,12.35,2.7925976703357964,2.380966896143537,True,1046.0,84.0,5
133,0.9311904407955105,0.0,0.0,0.0,0.0,0.0,0.015314739074114387,0.0,0.0,0.0,0.0,0.05349482013037517,0.0,0.0,0.0,13.02,2.7905967708184987,2.3725280271866205,True,1077.0,86.0,5
