180,X9,X11,X17,X27,X33,X68,X114,X151,X159,X181,X200,X272,X472
181,X18,X19,X23,X26,X27,X68,X72,X114,X118,X151,X157,X272,X303
182,X4,X9,X16,X18,X23,X68,X72,X114,X118,X157,X181,X272,X303
183,X9,X13,X18,X24,X27,X68,X72,X114,X118,X157,X181,X272,X303
184,X8,X9,X11,X17,X39,X68,X72,X114,X118,X157,X181,X272,X303
185,X9,X13,X18,X19,X27,X33,X114,X151,X249,X264,X421,X472,X502
186,X18,X23,X27,X33,X52,X94,X105,X114,X118,X151,X200,X211,X249
187,X9,X19,X24,X33,X92,X94,X108,X200,X211,X249,X265,X502,X604
188,X9,X19,X33,X92,X94,X108,X118,X211,X249,X264,X303,X738,X763
189,X9,X19,X33,X92,X94,X108,X118,X211,X249,X264,X303,X738,X763
190,X9,X19,X33,X92,X94,X108,X114,X118,X249,X264,X421,X472,X502
191,X9,X19,X33,X92,X94,X108,X111,X114,X118,X197,X211,X275,X303
192,X19,X24,X27,X33,X39,X41,X94,X114,X118,X197,X211,X275,X303
193,X9,X19,X33,X92,X94,X108,X118,X211,X249,X264,X356,X502,X763
194,X12,X19,X24,X39,X91,X103,X114,X118,X173,X197,X211,X299,X350
195,X12,X19,X39,X91,X103,X114,X118,X121,X173,X197,X211,X299,X350
196,X8,X9,X11,X17,X39,X64,X68,X103,X114,X200,X211,X249,X604
197,X9,X19,X33,X92,X94,X108,X118,X211,X249,X356,X502,X691,X763
198,X8,X9,X11,X17,X64,X108,X118,X211,X249,X356,X502,X691,X763
199,X8,X9,X11,X17,X64,X108,X118,X151,X163,X200,X211,X299,X502
200,X8,X12,X14,X19,X27,X33,X39,X92,X103,X114,X181,X200,X249
201,X8,X12,X14,X19,X27,X33,X39,X92,X103,X114,X181,X200,X249
202,X9,X16,X18,X23,X27,X33,X94,X105,X163,X200,X211,X299,X350
203,X8,X9,X11,X17,X39,X64,X103,X111,X114,X200,X211,X299,X350
204,X8,X9,X11,X17,X29,X33,X41,X103,X114,X197,X211,X299,X350
205,X1,X7,X16,X23,X27,X33,X94,X105,X163,X200,X211,X299,X350
206,X9,X18,X19,X33,X94,X103,X114,X118,X163,X200,X211,X299,X350
207,X7,X12,X18,X23,X39,X103,X111,X151,X163,X200,X211,X299,X350
208,X9,X19,X33,X35,X90,X94,X103,X111,X163,X181,X200,X299,X350
209,X9,X19,X33,X35,X90,X94,X103,X111,X163,X181,X200,X299,X350
210,X5,X18,X23,X33,X94,X103,X111,X220,X249,X265,X299,X350,X421
211,X5,X18,X19,X33,X43,X94,X103,X108,X114,X126,X249,X299,X350
212,X19,X23,X27,X33,X73,X94,X96,X111,X114,X144,X211,X299,X350
213,X19,X23,X27,X33,X73,X94,X96,X114,X118,X122,X200,X211,X350
214,X19,X23,X27,X33,X73,X96,X111,X114,X144,X211,X229,X299,X350
215,X12,X18,X23,X39,X103,X111,X114,X121,X144,X211,X229,X299,X350
216,X19,X23,X27,X33,X73,X96,X114,X118,X122,X200,X211,X315,X350
217,X19,X23,X27,X33,X73,X96,X114,X118,X122,X200,X211,X299,X350
218,X18,X23,X27,X33,X73,X96,X114,X118,X122,X200,X211,X299,X350
219,X19,X23,X27,X33,X73,X94,X96,X114,X118,X122,X200,X211,X350
220,X5,X18,X24,X33,X73,X94,X96,X114,X118,X122,X200,X211,X350
221,X19,X23,X27,X33,X73,X94,X96,X109,X114,X151,X211,X299,X350
222,X19,X23,X27,X33,X73,X94,X96,X114,X118,X122,X200,X211,X350
223,X19,X23,X27,X33,X73,X94,X96,X114,X118,X122,X200,X211,X350
224,X19,X23,X27,X33,X73,X94,X96,X114,X118,X122,X200,X211,X350
225,X19,X23,X27,X33,X73,X94,X96,X114,X118,X122,X200,X211,X350
226,X11,X19,X23,X27,X33,X73,X94,X96,X114,X181,X200,X211,X350
227,X8,X11,X26,X27,X33,X73,X94,X96,X114,X181,X200,X211,X350
228,X8,X19,X24,X33,X73,X94,X96,X114,X118,X122,X200,X211,X350
229,X19,X23,X30,X33,X94,X103,X111,X163,X181,X200,X219,X299,X350
