117,X1,X5,X68,X83,X91,X122,X128,X150,X201,X264,X472,X502,X763
118,X1,X5,X7,X31,X45,X83,X91,X92,X118,X208,X264,X299,X502
119,X1,X5,X14,X41,X83,X122,X128,X201,X208,X264,X447,X472,X502
120,X1,X5,X9,X83,X122,X127,X201,X208,X264,X299,X356,X447,X502
121,X1,X2,X5,X14,X83,X122,X128,X201,X208,X264,X447,X472,X502
122,X1,X14,X16,X83,X122,X125,X128,X201,X264,X311,X447,X472,X502
123,X9,X14,X16,X23,X24,X31,X41,X83,X92,X108,X229,X382,X502
124,X1,X5,X9,X10,X83,X108,X111,X126,X200,X208,X291,X299,X502
125,X1,X9,X14,X16,X23,X31,X39,X41,X92,X108,X150,X299,X502
126,X5,X14,X49,X83,X114,X122,X150,X201,X229,X447,X472,X502,X554
127,X1,X5,X83,X122,X127,X186,X201,X208,X264,X447,X472,X536,X581
128,X1,X5,X10,X16,X23,X31,X41,X83,X92,X108,X229,X536,X626
129,X5,X14,X45,X83,X122,X150,X201,X208,X264,X299,X356,X502,X626
130,X1,X5,X14,X33,X83,X122,X127,X201,X208,X299,X311,X502,X581
131,X1,X5,X14,X26,X122,X150,X201,X208,X264,X299,X356,X536,X581
132,X1,X5,X9,X14,X83,X122,X127,X201,X264,X447,X472,X502,X581
133,X1,X5,X10,X16,X31,X41,X83,X92,X111,X229,X272,X299,X502
134,X1,X9,X14,X16,X23,X31,X72,X83,X92,X111,X208,X472,X626
135,X1,X14,X16,X122,X127,X144,X163,X201,X264,X447,X472,X502,X554
136,X1,X14,X16,X31,X41,X83,X92,X108,X111,X200,X447,X472,X502
137,X1,X16,X83,X92,X122,X128,X150,X208,X264,X299,X311,X536,X581
138,X1,X5,X14,X16,X41,X83,X92,X111,X127,X208,X299,X502,X581
139,X1,X6,X14,X31,X41,X83,X92,X108,X111,X200,X208,X299,X502
140,X1,X14,X16,X45,X83,X122,X127,X128,X150,X208,X264,X299,X581
141,X5,X13,X14,X16,X83,X122,X127,X163,X201,X264,X356,X536,X581
142,X1,X7,X14,X52,X122,X128,X150,X201,X208,X264,X299,X472,X581
143,X1,X5,X14,X35,X83,X92,X122,X128,X150,X201,X208,X264,X502
144,X1,X9,X14,X16,X83,X118,X128,X150,X208,X264,X299,X536,X581
145,X1,X5,X14,X17,X83,X122,X201,X208,X264,X299,X356,X536,X581
146,X1,X14,X16,X23,X83,X111,X122,X127,X208,X264,X299,X447,X502
147,X1,X5,X10,X23,X83,X111,X116,X122,X127,X201,X264,X299,X502
148,X1,X7,X11,X14,X16,X24,X31,X83,X92,X108,X299,X303,X502
149,X1,X14,X16,X27,X31,X41,X83,X92,X108,X127,X200,X502,X581
150,X1,X7,X10,X64,X83,X114,X128,X150,X201,X264,X299,X447,X502
151,X1,X14,X83,X90,X122,X127,X128,X150,X201,X208,X299,X303,X502
152,X1,X5,X16,X24,X31,X49,X83,X92,X108,X127,X220,X299,X502
153,X1,X5,X10,X64,X83,X128,X150,X201,X208,X264,X536,X581,X691
154,X1,X5,X7,X14,X16,X24,X26,X41,X92,X108,X127,X208,X502
155,X1,X14,X73,X83,X90,X92,X109,X128,X150,X208,X299,X447,X502
156,X1,X5,X9,X14,X83,X108,X201,X208,X264,X272,X299,X303,X502
157,X1,X5,X14,X16,X24,X31,X83,X92,X108,X144,X299,X421,X502
158,X1,X5,X23,X83,X122,X127,X128,X150,X208,X264,X536,X581,X691
159,X1,X5,X10,X22,X23,X83,X122,X126,X150,X201,X299,X536,X581
160,X1,X5,X42,X83,X122,X127,X128,X150,X208,X264,X356,X536,X581
161,X1,X14,X73,X83,X90,X122,X201,X208,X264,X272,X299,X502,X581
162,X1,X5,X83,X105,X122,X127,X128,X150,X200,X264,X299,X421,X502
163,X1,X5,X23,X52,X83,X122,X127,X128,X150,X264,X299,X536,X581
164,X1,X10,X14,X83,X94,X105,X122,X128,X150,X201,X208,X299,X581
165,X1,X5,X42,X83,X108,X111,X126,X150,X201,X208,X299,X472,X581
166,X1,X14,X16,X24,X52,X83,X122,X128,X150,X201,X208,X299,X581
167,X1,X5,X11,X14,X52,X83,X122,X128,X150,X201,X208,X299,X536
168,X1,X10,X14,X83,X94,X201,X208,X264,X272,X299,X311,X536,X581
169,X1,X5,X16,X23,X35,X83,X128,X150,X201,X208,X299,X315,X536
170,X1,X5,X10,X83,X94,X122,X128,X150,X201,X536,X581,X604,X738
171,X14,X16,X23,X31,X41,X83,X122,X150,X157,X272,X356,X536,X581
172,X1,X5,X16,X23,X35,X83,X122,X201,X208,X299,X311,X536,X581
173,X14,X16,X23,X41,X83,X108,X201,X208,X264,X272,X299,X536,X581
174,X1,X5,X16,X73,X83,X118,X122,X128,X208,X299,X311,X536,X581
175,X1,X2,X9,X14,X16,X94,X122,X201,X208,X264,X299,X536,X581
176,X1,X14,X23,X83,X94,X122,X201,X208,X264,X272,X299,X536,X581
177,X1,X14,X23,X83,X94,X122,X201,X208,X264,X272,X299,X536,X581
178,X1,X10,X14,X29,X83,X122,X201,X208,X264,X272,X299,X536,X581
179,X5,X10,X29,X83,X94,X122,X128,X150,X201,X208,X303,X581,X604
180,X1,X5,X6,X14,X24,X41,X45,X49,X83,X92,X96,X128,X536
181,X5,X10,X29,X94,X105,X122,X128,X150,X201,X208,X536,X581,X604
182,X1,X14,X23,X41,X83,X118,X122,X128,X173,X208,X311,X536,X581
183,X1,X10,X14,X29,X83,X122,X128,X173,X201,X208,X299,X447,X472
184,X1,X5,X10,X83,X94,X122,X128,X186,X201,X208,X536,X581,X604
185,X1,X5,X7,X16,X94,X122,X128,X150,X201,X208,X299,X447,X472
186,X1,X5,X10,X37,X83,X94,X128,X150,X201,X211,X536,X581,X604
187,X1,X5,X10,X37,X83,X94,X128,X150,X201,X208,X468,X581,X604
188,X5,X7,X14,X29,X83,X94,X122,X128,X150,X201,X208,X299,X536
189,X1,X14,X29,X83,X94,X122,X128,X150,X201,X299,X303,X536,X581
190,X1,X5,X11,X14,X16,X24,X41,X49,X83,X91,X108,X299,X472
191,X1,X10,X14,X23,X41,X43,X83,X118,X122,X201,X208,X299,X536
192,X5,X14,X16,X24,X31,X92,X105,X108,X201,X211,X536,X581,X604
193,X1,X5,X14,X29,X83,X94,X122,X128,X150,X201,X208,X536,X581
194,X1,X14,X16,X45,X94,X122,X128,X150,X201,X208,X299,X536,X581
195,X1,X10,X14,X29,X83,X94,X122,X201,X208,X264,X299,X536,X581
196,X1,X5,X11,X16,X22,X24,X41,X42,X45,X83,X92,X299,X472
197,X1,X7,X14,X19,X83,X90,X116,X128,X173,X201,X208,X299,X536
198,X2,X14,X16,X27,X83,X90,X122,X201,X208,X272,X299,X536,X581
199,X1,X5,X7,X14,X24,X41,X49,X83,X92,X197,X208,X299,X536
200,X1,X5,X7,X14,X24,X29,X41,X49,X83,X92,X108,X536,X581
201,X5,X14,X18,X19,X24,X83,X92,X108,X150,X201,X208,X536,X581
202,X5,X14,X24,X31,X83,X90,X121,X201,X208,X264,X299,X536,X581
203,X5,X7,X14,X41,X73,X83,X201,X208,X249,X272,X536,X581,X604
204,X1,X5,X11,X14,X16,X24,X35,X41,X52,X92,X108,X208,X299
205,X5,X14,X16,X83,X90,X118,X122,X128,X173,X272,X299,X536,X581
206,X5,X14,X16,X83,X118,X122,X201,X208,X264,X299,X468,X536,X581
207,X1,X5,X14,X45,X83,X122,X144,X201,X208,X264,X536,X581,X604
